Geo Code,State,NAME,PRN2011
010072,AL,ANNISTON,"$85,893"
010144,AL,AUBURN,"$95,098"
010216,AL,BESSEMER,"$91,882"
010228,AL,BIRMINGHAM,"$2,346,255"
010594,AL,DECATUR,"$66,515"
010624,AL,DOTHAN,"$70,218"
010810,AL,FLORENCE,"$54,059"
010882,AL,GADSDEN,"$151,337"
011206,AL,HOOVER,"$37,353"
011218,AL,HUNTSVILLE,"$169,443"
011542,AL,MOBILE,"$1,038,561"
011560,AL,MONTGOMERY,"$734,740"
011740,AL,OPELIKA,"$33,680"
012268,AL,TUSCALOOSA,"$122,035"
019001,AL,Autauga County,"$44,513"
019003,AL,Baldwin County,"$140,857"
019005,AL,Barbour County,"$50,271"
019007,AL,Bibb County,"$30,814"
019009,AL,Blount County,"$57,401"
019011,AL,Bullock County,"$25,140"
019013,AL,Butler County,"$40,186"
019015,AL,Calhoun County,"$99,344"
019017,AL,Chambers County,"$78,171"
019019,AL,Cherokee County,"$27,991"
019021,AL,Chilton County,"$50,986"
019023,AL,Choctaw County,"$25,006"
019025,AL,Clarke County,"$40,599"
019027,AL,Clay County,"$27,157"
019029,AL,Cleburne County,"$19,440"
019031,AL,Coffee County,"$51,077"
019033,AL,Colbert County,"$69,971"
019035,AL,Conecuh County,"$28,040"
019037,AL,Coosa County,"$16,510"
019039,AL,Covington County,"$65,061"
019041,AL,Crenshaw County,"$26,564"
019043,AL,Cullman County,"$87,325"
019045,AL,Dale County,"$57,253"
019047,AL,Dallas County,"$93,838"
019049,AL,DeKalb County,"$92,865"
019051,AL,Elmore County,"$62,527"
019053,AL,Escambia County,"$53,139"
019055,AL,Etowah County,"$64,586"
019057,AL,Fayette County,"$26,147"
019059,AL,Franklin County,"$42,836"
019061,AL,Geneva County,"$39,802"
019063,AL,Greene County,"$21,812"
019065,AL,Hale County,"$31,264"
019067,AL,Henry County,"$24,873"
019069,AL,Houston County,"$35,794"
019071,AL,Jackson County,"$65,839"
019073,AL,JEFFERSON COUNTY,"$721,072"
019075,AL,Lamar County,"$23,885"
019077,AL,Lauderdale County,"$51,026"
019079,AL,Lawrence County,"$38,703"
019081,AL,Lee County,"$46,867"
019083,AL,Limestone County,"$69,924"
019085,AL,Lowndes County,"$28,184"
019087,AL,Macon County,"$47,716"
019089,AL,Madison County,"$92,767"
019091,AL,Marengo County,"$41,351"
019093,AL,Marion County,"$35,953"
019095,AL,Marshall County,"$96,627"
019097,AL,MOBILE COUNTY,"$686,717"
019099,AL,Monroe County,"$36,656"
019101,AL,Montgomery County,"$22,829"
019103,AL,Morgan County,"$53,041"
019105,AL,Perry County,"$26,964"
019107,AL,Pickens County,"$36,510"
019109,AL,Pike County,"$48,329"
019111,AL,Randolph County,"$40,265"
019113,AL,Russell County,"$75,060"
019115,AL,St. Clair County,"$70,449"
019117,AL,Shelby County,"$104,058"
019119,AL,Sumter County,"$35,787"
019121,AL,Talladega County,"$107,999"
019123,AL,Tallapoosa County,"$65,880"
019125,AL,Tuscaloosa County,"$91,214"
019127,AL,Walker County,"$95,395"
