"","UOGID","locale","my_formula","allocation","formula_difference","pct_change"
"1","010228","BIRMINGHAM",2684290,2710962,-26672.0701270192,-0.983859977639642
"2","011542","MOBILE",1305072,1319253,-14181.3730348982,-1.07495476871367
"3","011560","MONTGOMERY",1211154,1258634,-47480.2579491702,-3.77236416219252
"4","019073","JEFFERSON COUNTY",1467070,1485652,-18582.3826384102,-1.25078972992398
"5","019999","ALABAMA NONENTITLEMENT",13776717,13860804,-84087.2837180421,-0.606655167463894
"6","020078","ANCHORAGE",3735423,3774024,-38600.5918651265,-1.02279667180512
"7","029999","ALASKA NONENTITLEMENT",4103402,4142143,-38740.5738940295,-0.935278523557238
"8","040186","GLENDALE",2938659,2997188,-58529.3299780916,-1.9528080980603
"9","040270","MESA",3987441,4052229,-64788.1836316776,-1.59882829010102
"10","040330","PHOENIX",18967448,19212248,-244799.563497003,-1.27418490276101
"11","040468","TEMPE",1771950,1790686,-18735.9514818327,-1.04630021577388
"12","040492","TUCSON",5377958,5562939,-184980.509829804,-3.32522987992146
"13","049013","MARICOPA COUNTY",2886644,2815627,71017.1548962491,2.52225010259701
"14","049019","PIMA COUNTY",2396410,2284682,111728.232002393,4.89031874030578
"15","049999","ARIZONA NONENTITLEMENT",16203634,16373488,-169853.590159265,-1.03736961946816
"16","059999","ARKANSAS NONENTITLEMENT",15819445,15978848,-159402.702412006,-0.997585698368277
"17","060078","ANAHEIM",8641666,8700250,-58584.2979655229,-0.673363385713317
"18","060228","BAKERSFIELD",3429819,3465304,-35485.0496840738,-1.02400971701397
"19","060324","BERKELEY",5774001,5840486,-66485.2570439642,-1.13835144958766
"20","060720","CHULA VISTA",4368233,4260354,107879.108231784,2.53216301349099
"21","061152","EL MONTE",5437849,5157737,280112.003473179,5.43090901054434
"22","061230","ESCONDIDO",4014754,3934624,80130.1305773119,2.03653844884065
"23","061332","FONTANA",1704624,1723436,-18811.7007051362,-1.09152302175051
"24","061410","FRESNO",8712261,8845443,-133182.312107068,-1.50566016995494
"25","061440","GARDEN GROVE",3628220,3635163,-6943.4799090554,-0.191008763817617
"26","061464","GLENDALE",3185531,3104861,80670.1507459152,2.59818879962469
"27","061750","IRVINE",2859943,2927391,-67448.2487920844,-2.30403963092339
"28","062088","LONG BEACH",14086053,13496694,589358.890211595,4.36669076302386
"29","062118","LOS ANGELES",176144475,167431509,8712966.46933562,5.20389890849972
"30","062292","MODESTO",3322602,3360962,-38359.6253360314,-1.14132874266449
"31","062367","MORENO VALLEY",1726759,1743153,-16394.0280772827,-0.940481304698022
"32","062508","OAKLAND",18999587,19288175,-288587.853562459,-1.49619056008388
"33","062556","ONTARIO",1571947,1584528,-12580.8748933817,-0.793982491529448
"34","062622","OXNARD",4733712,4492650,241062.144739548,5.36570052729564
"35","062724","PASADENA",3533019,3372793,160225.788369094,4.75053726597197
"36","062850","POMONA",6484345,6135460,348885.198617919,5.68637394128426
"37","063048","RIVERSIDE",3098343,3126622,-28279.2759132595,-0.904467374478254
"38","063144","SACRAMENTO",10140538,10205871,-65333.2581774089,-0.64015367407063
"39","063162","SALINAS",6286313,5814926,471387.481775305,8.10650869461288
"40","063180","SAN BERNARDINO",3396388,3422960,-26571.6798403701,-0.77627783673692
"41","063210","SAN DIEGO",23355343,22796116,559227.20149447,2.4531687832018
"42","063228","SAN FRANCISCO",43094178,43605003,-510824.611298352,-1.17148165612637
"43","063258","SAN JOSE",32432978,32836839,-403860.775811348,-1.22990150121133
"44","063342","SANTA ANA",11422123,11598442,-176319.136973592,-1.52019673826529
"45","063624","STOCKTON",5971423,6041201,-69777.8607933084,-1.15503292794443
"46","069001","ALAMEDA COUNTY",5141549,5146924,-5374.99846746773,-0.10443127715637
"47","069013","CONTRA COSTA COUNTY",9176387,9283441,-107053.717724411,-1.15316850426917
"48","069019","FRESNO COUNTY",3380920,3371431,9489.38474449655,0.281464598993619
"49","069029","KERN COUNTY",4694571,4744645,-50074.3886081474,-1.05538746540884
"50","069037","LOS ANGELES COUNTY",66025820,62445943,3579877.15886139,5.73276178864236
"51","069059","ORANGE COUNTY",5052013,4992579,59433.6463718889,1.19043977815652
"52","069065","RIVERSIDE COUNTY",6349540,6352897,-3357.27290193364,-0.0528463298229712
"53","069067","SACRAMENTO COUNTY",11799054,11878700,-79645.8692764919,-0.670493145516697
"54","069071","SAN BERNARDINO COUNTY",6353903,6401870,-47967.248502505,-0.749269330719071
"55","069073","SAN DIEGO COUNTY",7273648,7070083,203565.110386364,2.87924640186493
"56","069077","SAN JOAQUIN COUNTY",4276747,4326957,-50209.848131163,-1.16039628152448
"57","069079","SAN LUIS OBISPO COUNTY",6436848,6296591,140256.855963759,2.22750462851659
"58","069081","SAN MATEO COUNTY",5102711,5144656,-41945.3419450326,-0.815318690793565
"59","069097","SONOMA COUNTY",7127173,6598916,528256.522636801,8.00520150031916
"60","069099","STANISLAUS COUNTY",3847691,3891785,-44093.9790356229,-1.13300141286384
"61","069999","CALIFORNIA NONENTITLEMENT",268435201,271730986,-3295784.58916247,-1.21288508082125
"62","080072","AURORA",4359882,4171770,188111.692076947,4.50915779338139
"63","080288","COLORADO SPRINGS",5043524,5097279,-53754.5987675749,-1.05457438699304
"64","080390","DENVER",9376328,9042223,334104.962532438,3.69494274286797
"65","089999","COLORADO NONENTITLEMENT",25654921,25884522,-229600.509957515,-0.887018543195485
"66","090102","BRIDGEPORT",1698473,1690527,7946.34661355708,0.470051446297934
"67","090492","HARTFORD",1972866,1987972,-15105.7612300336,-0.759857846591078
"68","090726","NEW HAVEN",1566819,1509315,57504.2292565794,3.80995546036311
"69","091194","WATERBURY",1147476,1158248,-10771.8703171869,-0.930014152166628
"70","099999","CONNECTICUT NONENTITLEMENT",12480988,12591306,-110317.608255077,-0.876141110819459
"71","100336","WILMINGTON",1130997,1142202,-11204.8805833927,-0.980989403222257
"72","109003","NEW CASTLE COUNTY",1568161,1582960,-14799.2916176957,-0.934912544707112
"73","109999","DELAWARE NONENTITLEMENT",1513676,1527664,-13988.1213398657,-0.915654315338041
"74","110006","DISTRICT OF COLUMBIA",24779386,23124727,1654659.11132774,7.15536711558905
"75","121236","HIALEAH",2875050,2698307,176742.647367779,6.55013115141378
"76","121968","MIAMI",6567435,6132699,434735.6249592,7.08881399460824
"77","122292","ORLANDO",1852751,1846707,6044.05229685339,0.327288102381883
"78","122724","ST PETERSBURG",2869512,2902139,-32627.3469981602,-1.1242516984252
"79","123000","TALLAHASSEE",1859043,1878411,-19367.7644703011,-1.03107171275621
"80","123012","TAMPA",2979972,3009506,-29533.9434676054,-0.981355194759718
"81","129011","BROWARD COUNTY",3149039,3048655,100384.109713759,3.29273432755623
"82","129021","COLLIER COUNTY",2483408,2476642,6765.97439989448,0.273191458430184
"83","129031","JACKSONVILLE-DUVAL COUNTY",5949249,6011963,-62714.3781563248,-1.04315974925868
"84","129057","HILLSBOROUGH COUNTY",5993778,6054897,-61118.6663172171,-1.00940885232593
"85","129071","LEE COUNTY",1797438,1818474,-21036.4190450064,-1.15681714695983
"86","129081","MANATEE COUNTY",2114589,2135435,-20846.2404972082,-0.976205808053544
"87","129083","MARION COUNTY",1537926,1550489,-12562.8666971114,-0.810251907437679
"88","129086","MIAMI-DADE COUNTY",11376059,10715429,660630.24839047,6.16522444776098
"89","129095","ORANGE COUNTY",5016274,5016437,-163.488256177865,-0.00325905131825367
"90","129099","PALM BEACH COUNTY",5998605,5830483,168121.792239907,2.8834968259046
"91","129101","PASCO COUNTY",3822603,3810934,11668.581863231,0.306186931162571
"92","129103","PINELLAS COUNTY",3964584,3997774,-33190.0987308114,-0.830214482629868
"93","129105","POLK COUNTY",2040313,2054711,-14397.7135085773,-0.700717205902792
"94","129115","SARASOTA COUNTY",1854874,1872211,-17336.8056717145,-0.926007040430511
"95","129117","SEMINOLE COUNTY",1187412,1183769,3642.5285268419,0.307706024303888
"96","129127","VOLUSIA COUNTY",1886357,1904452,-18094.5811029281,-0.950120092442768
